municipality_id,source_id,url,http_status,bytes,text_chars,status,error
M096,S-M096-01,https://www.city.takehara.lg.jp/soshikikarasagasu/chiikizukurika/gyomuannai/1_1/2_1/7243.html,200,69636,8453,OK,
M096,S-M096-02,https://www.city.takehara.lg.jp/material/files/group/7/01gomi.pdf,200,569574,1233,OK,
M097,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,200,23292,4440,OK,
M097,S-M097-02,https://www.city.mihara.hiroshima.jp/soshiki/23/112747.html,200,20669,4143,OK,
M101,S-M101-01,https://www.city.miyoshi.hiroshima.jp/garbage-item/search/garbage_rule.php,200,17689,803,OK,
M101,S-M101-02,https://www.city.miyoshi.hiroshima.jp/garbage-item/search/search.php,200,25922,1006,OK,
M102,S-M102-01,https://www.city.shobara.hiroshima.jp/main/life/waste/post_502.html,200,17939,2138,OK,
M102,S-M102-02,https://www.city.shobara.hiroshima.jp/main/2026/05/b6dc044e36ef6e5fe182c3d6e19651b8.pdf,200,4509369,42718,OK,
M102,S-M102-03,https://www.city.shobara.hiroshima.jp/main/2026/05/f425cb7cb962951470a777e677d0cd81.pdf,200,1253372,2219,OK,
M102,S-M102-04,https://www.gomisaku.jp/0258/,200,31720,673,OK,
M102,S-M102-05,https://www.city.shobara.hiroshima.jp/main/life/waste/post_1331.html,200,14751,1116,OK,
M103,S-M103-01,https://www.city.otake.hiroshima.jp/material/files/group/7/reiwa8nenndogomikarenndaAtiku.pdf,200,5891330,27797,OK,
M103,S-M103-02,https://www.city.otake.hiroshima.jp/kurashi/kankyo/1/1592976944471.html,200,165604,79085,OK,
M103,S-M103-03,https://www.city.otake.hiroshima.jp/material/files/group/7/ippanhaikibutushorikihonkeikaku.pdf,200,12372254,63346,OK,
M104,S-M104-01,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/index.html,200,44332,3269,OK,
M104,S-M104-02,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/21963.html,200,61817,12907,OK,
M104,S-M104-03,https://www.city.higashihiroshima.lg.jp/section/reiki_int/reiki_honbun/m313RG00000594.html,200,202857,62113,OK,
M105,S-M105-01,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78499.html,200,28010,6192,OK,
M105,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,200,255783,100928,OK,
M105,S-M105-03,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/12535.html,200,48262,11394,OK,
M106,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,200,38042,4547,OK,
M107,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,200,3365963,0,ERROR,ValueError: extracted text too short
M107,S-M107-02,https://www.city.etajima.hiroshima.jp/cms/articles/show/11608,200,21933,1446,OK,
M107,S-M107-03,https://www.city.etajima.hiroshima.jp/cms/articles/show/11923,200,25533,1668,OK,
M108,S-M108-01,https://www.town.fuchu.hiroshima.jp/uploaded/attachment/31359.pdf,200,2623844,10783,OK,
M108,S-M108-02,https://www.town.fuchu.hiroshima.jp/site/kankyousenta/34617.html,200,34203,3181,OK,
M109,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,200,1145775,5013,OK,
M109,S-M109-02,https://www.town.kaita.lg.jp/soshiki/10/135455.html,200,17708,2851,OK,
M110,S-M110-01,https://www.town.kumano.lg.jp/8/1/3/2/3569.html,200,58166,4088,OK,
M110,S-M110-02,https://www.town.kumano.lg.jp/8/1/3/2/1/3572.html,200,57907,4348,OK,
M111,S-M111-01,https://www.town.saka.lg.jp/2014/04/01/gomi_dashikata/,200,341762,9661,OK,
M112,S-M112-01,https://www.akiota.jp/soshiki/13/2397.html,200,26357,8893,OK,
M112,S-M112-02,https://www.akiota.jp/uploaded/attachment/9505.pdf,200,2133458,6891,OK,
M113,S-M113-01,https://www.town.kitahiroshima.lg.jp/soshiki/14/17696.html,200,30609,7752,OK,
M113,S-M113-02,https://www.town.kitahiroshima.lg.jp/uploaded/attachment/23637.pdf,200,2301535,0,ERROR,ValueError: extracted text too short
